100,school and preschool funding 
101,judicial selection
102,capital punishment
103,manatee protection
104,new medical schools
105,affirmative action
106,Terri Schiavo
107,tort reform
108,Manatee County
109,Scarlet Letter Law
401,Olympics
402,Space
403,Bottled Water
404,Eminent domain
405,Newt Gingrich
406,Felon disenfranchisement
407,Faith-based initiatives
408,Invasive species
409,Climate change
410,Condos
411,Stand your ground
412,2000 Recount
413,James V. Crosby
414,Medicaid reform
415,George W. Bush
416,Marketing
417,Movie Gallery
418,War preparations
419,Lost foster child
420,Billboards
421,Traffic cameras
422,Non-resident Aliens
423,National Rifle Association
424,Gulf drilling
425,Civil Rights Act
426,Jeffrey Goldhagen
427,Slot Machines
428,New Stadiums
429,Cuban Child
430,Restraints and Helmets
431,Agency Ratings
432,Gay Adoption
433,Abstinence
434,Bacardi Trademark Lobbying
