rare,hard,regions_ASIA,industries_I35102,industries_I65100,industries_I41300,industries_I32200,,
,medium,industries_I24000,industries_I32830,industries_I42600,industries_I8150211,regions_RWANDA,,
,easy,regions_ALG,regions_GUAT,regions_BURMA,regions_CUBA,regions_MCDNIA,,
medium,hard,topics_GENV,industries_I3302021,topics_C182,topics_GPRO,industries_I82000,,
,medium,industries_I22100,topics_E513,industries_I36400,industries_I42900,industries_I41000,,
,easy,regions_FIN,regions_CZREP,regions_BUL,regions_SWED,regions_TAIWAN,,
common,hard,industries_I83100,topics_E12,industries_I81501,topics_C33,industries_I81502,,
,medium,topics_C12,regions_BELG,industries_I21000,industries_I1300003,industries_I14000,,
,easy,regions_INDON,regions_MEX,regions_ISRAEL,regions_POL,regions_EEC,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
